index  confidence   rules
 1     1.000        ['flour', 'root vegetables', 'whipped/sour cream']=>['whole milk']
 2     0.938        ['other vegetables', 'cream cheese', 'sugar']=>['whole milk']
 3     0.938        ['tropical fruit', 'sausage', 'yogurt', 'root vegetables']=>['whole milk']
 4     0.905        ['red/blush wine', 'liquor']=>['bottled beer']
 5     0.905        ['tropical fruit', 'fruit/vegetable juice', 'whipped/sour cream']=>['other vegetables']
 6     0.900        ['pip fruit', 'butter', 'whipped/sour cream']=>['whole milk']
 7     0.900        ['tropical fruit', 'domestic eggs', 'whipped/sour cream']=>['whole milk']
 8     0.895        ['tropical fruit', 'yogurt', 'root vegetables', 'butter']=>['whole milk']
 9     0.889        ['ham', 'pip fruit', 'tropical fruit']=>['other vegetables']
 10    0.889        ['cream cheese', 'citrus fruit', 'domestic eggs']=>['whole milk']
 11    0.889        ['onions', 'root vegetables', 'tropical fruit']=>['other vegetables']
 12    0.889        ['margarine', 'rolls/buns', 'whipped/sour cream']=>['whole milk']
 13    0.886        ['tropical fruit', 'whole milk', 'citrus fruit', 'root vegetables']=>['other vegetables']
 14    0.882        ['yogurt', 'root vegetables', 'butter milk']=>['whole milk']
 15    0.882        ['root vegetables', 'herbs', 'tropical fruit']=>['whole milk']
 16    0.882        ['pastry', 'citrus fruit', 'whipped/sour cream']=>['whole milk']
 17    0.882        ['pastry', 'citrus fruit', 'root vegetables']=>['other vegetables']
 18    0.882        ['whole milk', 'frozen vegetables', 'yogurt', 'root vegetables']=>['other vegetables']
 19    0.882        ['other vegetables', 'beef', 'rolls/buns', 'tropical fruit']=>['whole milk']
 20    0.882        ['whole milk', 'frozen vegetables', 'yogurt', 'whipped/sour cream']=>['other vegetables']
 21    0.857        ['pork', 'butter milk']=>['other vegetables']
 22    0.850        ['margarine', 'meat']=>['other vegetables']
 23    0.850        ['curd', 'cream cheese', 'root vegetables']=>['other vegetables']
 24    0.850        ['root vegetables', 'oil', 'tropical fruit']=>['other vegetables']
 25    0.850        ['onions', 'root vegetables', 'butter']=>['whole milk']
 26    0.850        ['white bread', 'tropical fruit', 'whipped/sour cream']=>['other vegetables']
 27    0.850        ['other vegetables', 'pip fruit', 'root vegetables', 'whipped/sour cream']=>['whole milk']
 28    0.846        ['other vegetables', 'pork', 'butter']=>['whole milk']
 29    0.842        ['domestic eggs', 'butter', 'whipped/sour cream']=>['whole milk']
 30    0.842        ['citrus fruit', 'newspapers', 'root vegetables']=>['other vegetables']
 31    0.842        ['root vegetables', 'waffles', 'rolls/buns']=>['whole milk']
 32    0.842        ['frozen vegetables', 'citrus fruit', 'fruit/vegetable juice']=>['whole milk']
 33    0.833        ['rice', 'butter']=>['whole milk']
 34    0.833        ['root vegetables', 'domestic eggs', 'brown bread']=>['whole milk']
 35    0.833        ['root vegetables', 'herbs', 'rolls/buns']=>['whole milk']
 36    0.833        ['whole milk', 'yogurt', 'rice']=>['other vegetables']
 37    0.833        ['other vegetables', 'yogurt', 'root vegetables', 'fruit/vegetable juice']=>['whole milk']
 38    0.833        ['tropical fruit', 'yogurt', 'domestic eggs', 'root vegetables']=>['whole milk']
 39    0.826        ['shopping bags', 'herbs']=>['other vegetables']
 40    0.826        ['yogurt', 'rice']=>['other vegetables']
 41    0.824        ['other vegetables', 'curd', 'domestic eggs']=>['whole milk']
 42    0.821        ['tropical fruit', 'herbs']=>['whole milk']
 43    0.821        ['other vegetables', 'yogurt', 'citrus fruit', 'root vegetables']=>['whole milk']
 44    0.818        ['curd', 'pip fruit', 'whipped/sour cream']=>['whole milk']
 45    0.818        ['other vegetables', 'root vegetables', 'rice']=>['whole milk']
 46    0.815        ['tropical fruit', 'yogurt', 'root vegetables', 'rolls/buns']=>['whole milk']
 47    0.810        ['bottled beer', 'hamburger meat']=>['whole milk']
 48    0.810        ['yogurt', 'cereals']=>['whole milk']
 49    0.810        ['pip fruit', 'root vegetables', 'butter']=>['whole milk']
 50    0.810        ['long life bakery product', 'yogurt', 'whipped/sour cream']=>['whole milk']
 51    0.810        ['rolls/buns', 'waffles', 'whipped/sour cream']=>['whole milk']
 52    0.810        ['tropical fruit', 'yogurt', 'citrus fruit', 'root vegetables']=>['other vegetables']
 53    0.806        ['curd', 'hamburger meat']=>['whole milk']
