index  confidence   rules
 1     1.000        ['root vegetables', 'flour', 'whipped/sour cream']=>['whole milk']
 2     0.938        ['sugar', 'cream cheese', 'other vegetables']=>['whole milk']
 3     0.938        ['tropical fruit', 'root vegetables', 'yogurt', 'sausage']=>['whole milk']
 4     0.905        ['red/blush wine', 'liquor']=>['bottled beer']
 5     0.905        ['fruit/vegetable juice', 'tropical fruit', 'whipped/sour cream']=>['other vegetables']
 6     0.900        ['tropical fruit', 'domestic eggs', 'whipped/sour cream']=>['whole milk']
 7     0.900        ['pip fruit', 'butter', 'whipped/sour cream']=>['whole milk']
 8     0.895        ['tropical fruit', 'butter', 'yogurt', 'root vegetables']=>['whole milk']
 9     0.889        ['onions', 'tropical fruit', 'root vegetables']=>['other vegetables']
 10    0.889        ['rolls/buns', 'margarine', 'whipped/sour cream']=>['whole milk']
 11    0.889        ['citrus fruit', 'domestic eggs', 'cream cheese']=>['whole milk']
 12    0.889        ['pip fruit', 'tropical fruit', 'ham']=>['other vegetables']
 13    0.886        ['tropical fruit', 'citrus fruit', 'whole milk', 'root vegetables']=>['other vegetables']
 14    0.882        ['citrus fruit', 'pastry', 'root vegetables']=>['other vegetables']
 15    0.882        ['herbs', 'tropical fruit', 'root vegetables']=>['whole milk']
 16    0.882        ['butter milk', 'yogurt', 'root vegetables']=>['whole milk']
 17    0.882        ['citrus fruit', 'pastry', 'whipped/sour cream']=>['whole milk']
 18    0.882        ['yogurt', 'whole milk', 'frozen vegetables', 'root vegetables']=>['other vegetables']
 19    0.882        ['rolls/buns', 'tropical fruit', 'beef', 'other vegetables']=>['whole milk']
 20    0.882        ['yogurt', 'whole milk', 'frozen vegetables', 'whipped/sour cream']=>['other vegetables']
 21    0.857        ['butter milk', 'pork']=>['other vegetables']
 22    0.850        ['meat', 'margarine']=>['other vegetables']
 23    0.850        ['tropical fruit', 'white bread', 'whipped/sour cream']=>['other vegetables']
 24    0.850        ['onions', 'butter', 'root vegetables']=>['whole milk']
 25    0.850        ['curd', 'cream cheese', 'root vegetables']=>['other vegetables']
 26    0.850        ['tropical fruit', 'root vegetables', 'oil']=>['other vegetables']
 27    0.850        ['whipped/sour cream', 'pip fruit', 'root vegetables', 'other vegetables']=>['whole milk']
 28    0.846        ['pork', 'butter', 'other vegetables']=>['whole milk']
 29    0.842        ['newspapers', 'citrus fruit', 'root vegetables']=>['other vegetables']
 30    0.842        ['fruit/vegetable juice', 'citrus fruit', 'frozen vegetables']=>['whole milk']
 31    0.842        ['rolls/buns', 'waffles', 'root vegetables']=>['whole milk']
 32    0.842        ['butter', 'domestic eggs', 'whipped/sour cream']=>['whole milk']
 33    0.833        ['butter', 'rice']=>['whole milk']
