index  confidence   rules
 1     1.000        ['flour', 'whipped/sour cream', 'root vegetables']=>['whole milk']
 2     0.938        ['cream cheese', 'other vegetables', 'sugar']=>['whole milk']
 3     0.938        ['sausage', 'yogurt', 'tropical fruit', 'root vegetables']=>['whole milk']
 4     0.905        ['liquor', 'red/blush wine']=>['bottled beer']
 5     0.905        ['fruit/vegetable juice', 'whipped/sour cream', 'tropical fruit']=>['other vegetables']
 6     0.900        ['butter', 'whipped/sour cream', 'pip fruit']=>['whole milk']
 7     0.900        ['whipped/sour cream', 'tropical fruit', 'domestic eggs']=>['whole milk']
 8     0.895        ['butter', 'yogurt', 'tropical fruit', 'root vegetables']=>['whole milk']
 9     0.889        ['tropical fruit', 'ham', 'pip fruit']=>['other vegetables']
 10    0.889        ['rolls/buns', 'whipped/sour cream', 'margarine']=>['whole milk']
 11    0.889        ['onions', 'tropical fruit', 'root vegetables']=>['other vegetables']
 12    0.889        ['citrus fruit', 'cream cheese', 'domestic eggs']=>['whole milk']
 13    0.886        ['citrus fruit', 'whole milk', 'tropical fruit', 'root vegetables']=>['other vegetables']
 14    0.882        ['butter milk', 'yogurt', 'root vegetables']=>['whole milk']
 15    0.882        ['herbs', 'tropical fruit', 'root vegetables']=>['whole milk']
 16    0.882        ['citrus fruit', 'pastry', 'root vegetables']=>['other vegetables']
 17    0.882        ['citrus fruit', 'whipped/sour cream', 'pastry']=>['whole milk']
 18    0.882        ['other vegetables', 'tropical fruit', 'rolls/buns', 'beef']=>['whole milk']
 19    0.882        ['whole milk', 'frozen vegetables', 'yogurt', 'root vegetables']=>['other vegetables']
 20    0.882        ['whole milk', 'frozen vegetables', 'yogurt', 'whipped/sour cream']=>['other vegetables']
 21    0.857        ['pork', 'butter milk']=>['other vegetables']
 22    0.850        ['meat', 'margarine']=>['other vegetables']
 23    0.850        ['curd', 'cream cheese', 'root vegetables']=>['other vegetables']
 24    0.850        ['butter', 'onions', 'root vegetables']=>['whole milk']
 25    0.850        ['tropical fruit', 'oil', 'root vegetables']=>['other vegetables']
 26    0.850        ['whipped/sour cream', 'tropical fruit', 'white bread']=>['other vegetables']
 27    0.850        ['other vegetables', 'whipped/sour cream', 'pip fruit', 'root vegetables']=>['whole milk']
 28    0.846        ['pork', 'other vegetables', 'butter']=>['whole milk']
 29    0.842        ['citrus fruit', 'newspapers', 'root vegetables']=>['other vegetables']
 30    0.842        ['waffles', 'root vegetables', 'rolls/buns']=>['whole milk']
 31    0.842        ['butter', 'whipped/sour cream', 'domestic eggs']=>['whole milk']
 32    0.842        ['citrus fruit', 'fruit/vegetable juice', 'frozen vegetables']=>['whole milk']
 33    0.833        ['butter', 'rice']=>['whole milk']
 34    0.833        ['brown bread', 'domestic eggs', 'root vegetables']=>['whole milk']
 35    0.833        ['herbs', 'rolls/buns', 'root vegetables']=>['whole milk']
 36    0.833        ['whole milk', 'rice', 'yogurt']=>['other vegetables']
 37    0.833        ['fruit/vegetable juice', 'yogurt', 'other vegetables', 'root vegetables']=>['whole milk']
 38    0.833        ['yogurt', 'tropical fruit', 'domestic eggs', 'root vegetables']=>['whole milk']
 39    0.826        ['rice', 'yogurt']=>['other vegetables']
 40    0.826        ['herbs', 'shopping bags']=>['other vegetables']
 41    0.824        ['curd', 'other vegetables', 'domestic eggs']=>['whole milk']
 42    0.821        ['herbs', 'tropical fruit']=>['whole milk']
 43    0.821        ['citrus fruit', 'other vegetables', 'yogurt', 'root vegetables']=>['whole milk']
 44    0.818        ['curd', 'whipped/sour cream', 'pip fruit']=>['whole milk']
 45    0.818        ['other vegetables', 'rice', 'root vegetables']=>['whole milk']
 46    0.815        ['rolls/buns', 'yogurt', 'tropical fruit', 'root vegetables']=>['whole milk']
 47    0.810        ['yogurt', 'cereals']=>['whole milk']
 48    0.810        ['hamburger meat', 'bottled beer']=>['whole milk']
 49    0.810        ['long life bakery product', 'yogurt', 'whipped/sour cream']=>['whole milk']
 50    0.810        ['waffles', 'whipped/sour cream', 'rolls/buns']=>['whole milk']
 51    0.810        ['butter', 'pip fruit', 'root vegetables']=>['whole milk']
 52    0.810        ['citrus fruit', 'yogurt', 'tropical fruit', 'root vegetables']=>['other vegetables']
 53    0.806        ['curd', 'hamburger meat']=>['whole milk']
 54    0.800        ['herbs', 'rolls/buns']=>['whole milk']
 55    0.800        ['tropical fruit', 'yogurt', 'frozen meals']=>['whole milk']
 56    0.800        ['tropical fruit', 'whole milk', 'grapes']=>['other vegetables']
 57    0.800        ['citrus fruit', 'tropical fruit', 'butter']=>['whole milk']
 58    0.800        ['curd', 'other vegetables', 'hamburger meat']=>['whole milk']
 59    0.800        ['fruit/vegetable juice', 'yogurt', 'root vegetables', 'whole milk']=>['other vegetables']
 60    0.800        ['whole milk', 'pip fruit', 'tropical fruit', 'whipped/sour cream']=>['other vegetables']
 61    0.793        ['curd', 'yogurt', 'butter']=>['whole milk']
 62    0.793        ['other vegetables', 'yogurt', 'pip fruit', 'root vegetables']=>['whole milk']
 63    0.792        ['tropical fruit', 'brown bread', 'pip fruit']=>['other vegetables']
 64    0.789        ['onions', 'sliced cheese']=>['other vegetables']
 65    0.789        ['rice', 'tropical fruit']=>['whole milk']
 66    0.789        ['detergent', 'whipped/sour cream']=>['whole milk']
 67    0.789        ['whipped/sour cream', 'pip fruit', 'domestic eggs']=>['whole milk']
 68    0.789        ['yogurt', 'tropical fruit', 'soft cheese']=>['whole milk']
 69    0.789        ['butter', 'yogurt', 'root vegetables']=>['whole milk']
 70    0.789        ['newspapers', 'sausage', 'tropical fruit']=>['whole milk']
 71    0.789        ['yogurt', 'oil', 'root vegetables']=>['whole milk']
 72    0.789        ['curd', 'tropical fruit', 'butter']=>['yogurt']
 73    0.789        ['chocolate', 'butter', 'root vegetables']=>['whole milk']
 74    0.789        ['yogurt', 'tropical fruit', 'oil']=>['other vegetables']
 75    0.789        ['whole milk', 'ham', 'pip fruit']=>['other vegetables']
 76    0.789        ['other vegetables', 'brown bread', 'beef']=>['whole milk']
 77    0.789        ['other vegetables', 'rice', 'yogurt']=>['whole milk']
