index  confidence   rules
 1     1.000        ['whipped/sour cream', 'flour', 'root vegetables']=>['whole milk']
 2     0.938        ['other vegetables', 'sugar', 'cream cheese']=>['whole milk']
 3     0.938        ['tropical fruit', 'root vegetables', 'sausage', 'yogurt']=>['whole milk']
 4     0.905        ['liquor', 'red/blush wine']=>['bottled beer']
 5     0.905        ['fruit/vegetable juice', 'tropical fruit', 'whipped/sour cream']=>['other vegetables']
 6     0.900        ['tropical fruit', 'domestic eggs', 'whipped/sour cream']=>['whole milk']
 7     0.900        ['pip fruit', 'whipped/sour cream', 'butter']=>['whole milk']
 8     0.895        ['yogurt', 'tropical fruit', 'root vegetables', 'butter']=>['whole milk']
 9     0.889        ['onions', 'tropical fruit', 'root vegetables']=>['other vegetables']
 10    0.889        ['tropical fruit', 'ham', 'pip fruit']=>['other vegetables']
 11    0.889        ['domestic eggs', 'cream cheese', 'citrus fruit']=>['whole milk']
 12    0.889        ['whipped/sour cream', 'margarine', 'rolls/buns']=>['whole milk']
 13    0.886        ['tropical fruit', 'whole milk', 'citrus fruit', 'root vegetables']=>['other vegetables']
 14    0.882        ['tropical fruit', 'herbs', 'root vegetables']=>['whole milk']
 15    0.882        ['yogurt', 'butter milk', 'root vegetables']=>['whole milk']
 16    0.882        ['citrus fruit', 'pastry', 'root vegetables']=>['other vegetables']
 17    0.882        ['whipped/sour cream', 'citrus fruit', 'pastry']=>['whole milk']
 18    0.882        ['yogurt', 'frozen vegetables', 'whole milk', 'root vegetables']=>['other vegetables']
 19    0.882        ['yogurt', 'frozen vegetables', 'whole milk', 'whipped/sour cream']=>['other vegetables']
 20    0.882        ['tropical fruit', 'beef', 'other vegetables', 'rolls/buns']=>['whole milk']
 21    0.857        ['pork', 'butter milk']=>['other vegetables']
 22    0.850        ['margarine', 'meat']=>['other vegetables']
 23    0.850        ['oil', 'tropical fruit', 'root vegetables']=>['other vegetables']
 24    0.850        ['onions', 'root vegetables', 'butter']=>['whole milk']
 25    0.850        ['cream cheese', 'curd', 'root vegetables']=>['other vegetables']
 26    0.850        ['tropical fruit', 'whipped/sour cream', 'white bread']=>['other vegetables']
 27    0.850        ['other vegetables', 'pip fruit', 'whipped/sour cream', 'root vegetables']=>['whole milk']
 28    0.846        ['pork', 'other vegetables', 'butter']=>['whole milk']
 29    0.842        ['newspapers', 'citrus fruit', 'root vegetables']=>['other vegetables']
 30    0.842        ['waffles', 'rolls/buns', 'root vegetables']=>['whole milk']
 31    0.842        ['fruit/vegetable juice', 'frozen vegetables', 'citrus fruit']=>['whole milk']
 32    0.842        ['whipped/sour cream', 'domestic eggs', 'butter']=>['whole milk']
 33    0.833        ['rice', 'butter']=>['whole milk']
 34    0.833        ['yogurt', 'whole milk', 'rice']=>['other vegetables']
 35    0.833        ['domestic eggs', 'brown bread', 'root vegetables']=>['whole milk']
 36    0.833        ['herbs', 'rolls/buns', 'root vegetables']=>['whole milk']
 37    0.833        ['fruit/vegetable juice', 'yogurt', 'other vegetables', 'root vegetables']=>['whole milk']
