index  confidence   rules
 1     1.000        ['root vegetables', 'flour', 'whipped/sour cream']=>['whole milk']
 2     0.938        ['sugar', 'cream cheese', 'other vegetables']=>['whole milk']
 3     0.938        ['tropical fruit', 'root vegetables', 'yogurt', 'sausage']=>['whole milk']
 4     0.905        ['red/blush wine', 'liquor']=>['bottled beer']
 5     0.905        ['tropical fruit', 'fruit/vegetable juice', 'whipped/sour cream']=>['other vegetables']
 6     0.900        ['butter', 'whipped/sour cream', 'pip fruit']=>['whole milk']
 7     0.900        ['tropical fruit', 'whipped/sour cream', 'domestic eggs']=>['whole milk']
 8     0.895        ['tropical fruit', 'root vegetables', 'butter', 'yogurt']=>['whole milk']
 9     0.889        ['cream cheese', 'citrus fruit', 'domestic eggs']=>['whole milk']
 10    0.889        ['rolls/buns', 'margarine', 'whipped/sour cream']=>['whole milk']
 11    0.889        ['tropical fruit', 'onions', 'root vegetables']=>['other vegetables']
 12    0.889        ['tropical fruit', 'ham', 'pip fruit']=>['other vegetables']
 13    0.886        ['tropical fruit', 'root vegetables', 'citrus fruit', 'whole milk']=>['other vegetables']
 14    0.882        ['tropical fruit', 'root vegetables', 'herbs']=>['whole milk']
 15    0.882        ['pastry', 'root vegetables', 'citrus fruit']=>['other vegetables']
 16    0.882        ['pastry', 'whipped/sour cream', 'citrus fruit']=>['whole milk']
 17    0.882        ['butter milk', 'root vegetables', 'yogurt']=>['whole milk']
 18    0.882        ['frozen vegetables', 'whipped/sour cream', 'yogurt', 'whole milk']=>['other vegetables']
 19    0.882        ['other vegetables', 'tropical fruit', 'rolls/buns', 'beef']=>['whole milk']
 20    0.882        ['frozen vegetables', 'root vegetables', 'yogurt', 'whole milk']=>['other vegetables']
 21    0.857        ['butter milk', 'pork']=>['other vegetables']
 22    0.850        ['meat', 'margarine']=>['other vegetables']
 23    0.850        ['tropical fruit', 'white bread', 'whipped/sour cream']=>['other vegetables']
 24    0.850        ['root vegetables', 'cream cheese', 'curd']=>['other vegetables']
 25    0.850        ['tropical fruit', 'root vegetables', 'oil']=>['other vegetables']
 26    0.850        ['butter', 'onions', 'root vegetables']=>['whole milk']
 27    0.850        ['other vegetables', 'root vegetables', 'whipped/sour cream', 'pip fruit']=>['whole milk']
 28    0.846        ['other vegetables', 'butter', 'pork']=>['whole milk']
 29    0.842        ['butter', 'whipped/sour cream', 'domestic eggs']=>['whole milk']
 30    0.842        ['rolls/buns', 'root vegetables', 'waffles']=>['whole milk']
 31    0.842        ['root vegetables', 'newspapers', 'citrus fruit']=>['other vegetables']
 32    0.842        ['fruit/vegetable juice', 'citrus fruit', 'frozen vegetables']=>['whole milk']
 33    0.833        ['butter', 'rice']=>['whole milk']
