index  confidence   rules
 1     1.000        ['whipped/sour cream', 'flour', 'root vegetables']=>['whole milk']
 2     0.938        ['sugar', 'other vegetables', 'cream cheese']=>['whole milk']
 3     0.938        ['tropical fruit', 'yogurt', 'sausage', 'root vegetables']=>['whole milk']
 4     0.905        ['red/blush wine', 'liquor']=>['bottled beer']
 5     0.905        ['whipped/sour cream', 'tropical fruit', 'fruit/vegetable juice']=>['other vegetables']
 6     0.900        ['whipped/sour cream', 'butter', 'pip fruit']=>['whole milk']
 7     0.900        ['whipped/sour cream', 'domestic eggs', 'tropical fruit']=>['whole milk']
 8     0.895        ['tropical fruit', 'yogurt', 'butter', 'root vegetables']=>['whole milk']
 9     0.889        ['tropical fruit', 'onions', 'root vegetables']=>['other vegetables']
 10    0.889        ['tropical fruit', 'pip fruit', 'ham']=>['other vegetables']
 11    0.889        ['whipped/sour cream', 'margarine', 'rolls/buns']=>['whole milk']
 12    0.889        ['domestic eggs', 'citrus fruit', 'cream cheese']=>['whole milk']
 13    0.886        ['root vegetables', 'tropical fruit', 'citrus fruit', 'whole milk']=>['other vegetables']
 14    0.882        ['root vegetables', 'citrus fruit', 'pastry']=>['other vegetables']
 15    0.882        ['root vegetables', 'butter milk', 'yogurt']=>['whole milk']
 16    0.882        ['whipped/sour cream', 'citrus fruit', 'pastry']=>['whole milk']
 17    0.882        ['tropical fruit', 'beef', 'other vegetables', 'rolls/buns']=>['whole milk']
 18    0.882        ['root vegetables', 'yogurt', 'frozen vegetables', 'whole milk']=>['other vegetables']
 19    0.882        ['whipped/sour cream', 'yogurt', 'frozen vegetables', 'whole milk']=>['other vegetables']
 20    0.857        ['butter milk', 'pork']=>['other vegetables']
 21    0.850        ['margarine', 'meat']=>['other vegetables']
 22    0.850        ['root vegetables', 'butter', 'onions']=>['whole milk']
 23    0.850        ['whipped/sour cream', 'tropical fruit', 'white bread']=>['other vegetables']
 24    0.850        ['root vegetables', 'cream cheese', 'curd']=>['other vegetables']
 25    0.850        ['whipped/sour cream', 'pip fruit', 'other vegetables', 'root vegetables']=>['whole milk']
 26    0.846        ['butter', 'pork', 'other vegetables']=>['whole milk']
 27    0.842        ['fruit/vegetable juice', 'frozen vegetables', 'citrus fruit']=>['whole milk']
 28    0.842        ['root vegetables', 'newspapers', 'citrus fruit']=>['other vegetables']
 29    0.842        ['root vegetables', 'waffles', 'rolls/buns']=>['whole milk']
 30    0.842        ['whipped/sour cream', 'domestic eggs', 'butter']=>['whole milk']
 31    0.833        ['butter', 'rice']=>['whole milk']
 32    0.833        ['herbs', 'root vegetables', 'rolls/buns']=>['whole milk']
 33    0.833        ['yogurt', 'rice', 'whole milk']=>['other vegetables']
 34    0.833        ['brown bread', 'domestic eggs', 'root vegetables']=>['whole milk']
 35    0.833        ['root vegetables', 'yogurt', 'other vegetables', 'fruit/vegetable juice']=>['whole milk']
 36    0.826        ['yogurt', 'rice']=>['other vegetables']
 37    0.826        ['herbs', 'shopping bags']=>['other vegetables']
 38    0.824        ['curd', 'domestic eggs', 'other vegetables']=>['whole milk']
 39    0.821        ['root vegetables', 'yogurt', 'other vegetables', 'citrus fruit']=>['whole milk']
 40    0.818        ['root vegetables', 'other vegetables', 'rice']=>['whole milk']
 41    0.818        ['whipped/sour cream', 'pip fruit', 'curd']=>['whole milk']
 42    0.815        ['tropical fruit', 'yogurt', 'root vegetables', 'rolls/buns']=>['whole milk']
 43    0.810        ['hamburger meat', 'bottled beer']=>['whole milk']
 44    0.810        ['yogurt', 'cereals']=>['whole milk']
 45    0.810        ['root vegetables', 'butter', 'pip fruit']=>['whole milk']
 46    0.810        ['whipped/sour cream', 'waffles', 'rolls/buns']=>['whole milk']
 47    0.810        ['whipped/sour cream', 'yogurt', 'long life bakery product']=>['whole milk']
 48    0.810        ['root vegetables', 'yogurt', 'tropical fruit', 'citrus fruit']=>['other vegetables']
 49    0.806        ['hamburger meat', 'curd']=>['whole milk']
 50    0.800        ['herbs', 'rolls/buns']=>['whole milk']
 51    0.800        ['other vegetables', 'hamburger meat', 'curd']=>['whole milk']
 52    0.800        ['tropical fruit', 'butter', 'citrus fruit']=>['whole milk']
 53    0.800        ['tropical fruit', 'grapes', 'whole milk']=>['other vegetables']
 54    0.800        ['tropical fruit', 'frozen meals', 'yogurt']=>['whole milk']
 55    0.800        ['root vegetables', 'yogurt', 'fruit/vegetable juice', 'whole milk']=>['other vegetables']
 56    0.800        ['whipped/sour cream', 'tropical fruit', 'pip fruit', 'whole milk']=>['other vegetables']
 57    0.793        ['yogurt', 'butter', 'curd']=>['whole milk']
 58    0.793        ['root vegetables', 'yogurt', 'other vegetables', 'pip fruit']=>['whole milk']
