index  confidence   rules
 1     1.000        ['14931', '15188', '14993', '14717']=>['14197']
 2     1.000        ['15010', '14132', '14922', '15525']=>['15180']
 3     1.000        ['15010', '14132', '14984', '15525']=>['15180']
 4     1.000        ['14922', '15272', '15200', '15180', '14984']=>['14132']
 5     1.000        ['14922', '14132', '15010', '15200', '15525']=>['15180']
 6     1.000        ['14922', '14132', '15010', '15525', '14984']=>['15180']
 7     1.000        ['14132', '15010', '15200', '15525', '14984']=>['15180']
 8     1.000        ['14922', '14132', '15010', '15200', '15525', '14984']=>['15180']
 9     0.999        ['15248', '15200', '15180']=>['14984']
 10    0.999        ['15010', '14132', '14922', '15200']=>['15180']
 11    0.999        ['14922', '14132', '15010', '15200', '14984']=>['15180']
 12    0.999        ['15248', '15200', '14922', '15180']=>['14984']
 13    0.999        ['15248', '14132', '15200', '15180']=>['14984']
 14    0.999        ['14922', '15248', '14132', '15200', '14984']=>['15180']
 15    0.999        ['14922', '15248', '14132', '15200', '15180']=>['14984']
 16    0.999        ['14922', '14132', '15487', '15200', '14984']=>['15180']
 17    0.999        ['14922', '14132', '15487', '15200', '15180']=>['14984']
 18    0.999        ['14132', '14922', '15272']=>['15180']
 19    0.999        ['15165', '15526', '15125']=>['14773']
 20    0.999        ['14132', '14984', '14922', '15272']=>['15180']
 21    0.999        ['14970', '15526', '15125']=>['14773']
 22    0.999        ['15010', '14132', '15200', '15525']=>['15180']
 23    0.999        ['14132', '15200', '15272']=>['14984']
 24    0.999        ['14132', '15200', '15180', '15272']=>['14984']
 25    0.999        ['14970', '15125', '15117']=>['14773']
 26    0.999        ['15165', '14867', '15125', '15526']=>['14773']
 27    0.999        ['15200', '14132', '14922', '15272']=>['14984']
 28    0.999        ['14970', '15125', '15117', '15526']=>['14773']
 29    0.999        ['15200', '14132', '14922', '15272']=>['15180']
 30    0.999        ['15200', '14922', '15180', '15272']=>['14132']
 31    0.999        ['14922', '14132', '15272', '15200', '14984']=>['15180']
 32    0.999        ['14922', '14132', '15272', '15200', '15180']=>['14984']
 33    0.999        ['15227', '14970', '15526', '15125']=>['14773']
 34    0.999        ['14970', '15125', '15155']=>['14773']
 35    0.999        ['15227', '14773', '15117', '15526']=>['15125']
 36    0.999        ['15227', '15125', '15117', '15526']=>['14773']
 37    0.999        ['15227', '15125', '15155']=>['14773']
 38    0.999        ['14970', '15526', '15125', '15155']=>['14773']
 39    0.999        ['14970', '15117', '15155']=>['14773']
 40    0.999        ['14970', '15526', '15125', '15180']=>['14773']
 41    0.999        ['15227', '14867', '15125', '15526']=>['14773']
 42    0.999        ['15227', '14970', '14773', '15117']=>['15125']
 43    0.999        ['15227', '14970', '15125', '15117']=>['14773']
 44    0.999        ['15227', '14773', '15526', '15155']=>['15125']
 45    0.999        ['15227', '15526', '15125', '15155']=>['14773']
 46    0.999        ['14970', '15125', '15117', '15155']=>['14773']
 47    0.999        ['14970', '14867', '15125', '15526']=>['14773']
 48    0.999        ['14970', '15526', '15117', '15155']=>['14773']
 49    0.999        ['15180', '14773', '15117', '15526']=>['15125']
 50    0.999        ['15180', '15125', '15117', '15526']=>['14773']
 51    0.999        ['15117', '15227', '14773', '15526', '14970']=>['15125']
 52    0.999        ['15117', '15227', '15526', '15125', '14970']=>['14773']
 53    0.998        ['15227', '15125', '15117', '15155']=>['14773']
 54    0.998        ['15117', '15155', '15526', '15125', '14970']=>['14773']
 55    0.998        ['14970', '14773', '15117', '15180']=>['15125']
 56    0.998        ['14970', '15125', '15117', '15180']=>['14773']
 57    0.998        ['15227', '14970', '15125', '15155']=>['14773']
 58    0.998        ['15227', '14970', '15180', '15125']=>['14773']
 59    0.998        ['15227', '14970', '15526', '15155']=>['14773']
 60    0.998        ['15227', '14970', '15526', '15155']=>['15125']
 61    0.998        ['15117', '15155', '15227', '14773', '15526']=>['15125']
 62    0.998        ['15117', '15155', '15227', '15526', '15125']=>['14773']
 63    0.998        ['14970', '15125', '14867', '15117']=>['14773']
 64    0.998        ['15117', '14773', '15526', '14970', '15180']=>['15125']
 65    0.998        ['15117', '15526', '15125', '14970', '15180']=>['14773']
 66    0.998        ['15155', '15227', '14773', '15526', '14970']=>['15125']
 67    0.998        ['15155', '15227', '15526', '15125', '14970']=>['14773']
 68    0.998        ['15227', '15526', '15125', '14970', '15180']=>['14773']
 69    0.998        ['14970', '15180', '15125', '15155']=>['14773']
 70    0.998        ['15125', '15117', '15180', '15155']=>['14773']
 71    0.998        ['15227', '14970', '14867', '15125']=>['14773']
 72    0.998        ['15117', '14867', '15526', '15125', '14970']=>['14773']
 73    0.998        ['15227', '14970', '15117', '15155']=>['15125']
 74    0.998        ['15227', '14970', '15117', '15155']=>['14773']
 75    0.998        ['15227', '15125', '15117', '15180']=>['14773']
 76    0.998        ['15117', '15155', '15227', '14773', '14970']=>['15125']
 77    0.998        ['15117', '15155', '15227', '15125', '14970']=>['14773']
 78    0.998        ['15155', '15526', '15125', '14970', '15180']=>['14773']
 79    0.998        ['14970', '14867', '15125', '15155']=>['14773']
 80    0.998        ['15227', '14867', '15526', '15125', '14970']=>['14773']
 81    0.998        ['15117', '15155', '15227', '15526', '14970']=>['14773']
 82    0.998        ['15117', '15155', '14773', '15526', '15180']=>['15125']
 83    0.998        ['15117', '15155', '15526', '15125', '15180']=>['14773']
 84    0.998        ['15117', '15155', '15227', '15526', '14970']=>['15125']
 85    0.998        ['15117', '15227', '14773', '15526', '15180']=>['15125']
 86    0.998        ['15117', '15227', '15526', '15125', '15180']=>['14773']
 87    0.998        ['15117', '15227', '14867', '15526', '14773']=>['15125']
 88    0.998        ['15117', '15227', '14867', '15526', '15125']=>['14773']
 89    0.998        ['15117', '15155', '15227', '14773', '15526', '14970']=>['15125']
 90    0.998        ['15117', '15155', '15227', '15526', '15125', '14970']=>['14773']
 91    0.998        ['15165', '15125', '15117']=>['14773']
 92    0.998        ['15227', '15180', '15125', '15155']=>['14773']
 93    0.998        ['14970', '14867', '15125', '15180']=>['14773']
 94    0.998        ['15227', '14970', '15180', '15117']=>['14773']
 95    0.998        ['14970', '15180', '15117', '15155']=>['14773']
 96    0.998        ['14970', '15180', '15117', '15155']=>['15125']
 97    0.998        ['15227', '14970', '15180', '15117']=>['15125']
 98    0.998        ['14970', '14867', '15117', '15155']=>['14773']
 99    0.998        ['15227', '14867', '15125', '15155']=>['14773']
 100   0.998        ['14970', '15165', '15526', '15125']=>['14773']
 101   0.998        ['15155', '14867', '15526', '15125', '14970']=>['14773']
 102   0.998        ['15117', '15227', '14773', '14970', '15180']=>['15125']
 103   0.998        ['15117', '15227', '15125', '14970', '15180']=>['14773']
 104   0.998        ['15117', '15155', '14773', '14970', '15180']=>['15125']
 105   0.998        ['15117', '15155', '15125', '14970', '15180']=>['14773']
 106   0.998        ['14132', '14922', '14825', '14984']=>['15180']
 107   0.998        ['15227', '15165', '15526', '15125']=>['14773']
 108   0.998        ['15227', '15526', '15180', '15155']=>['15125']
 109   0.998        ['15227', '15526', '15180', '15155']=>['14773']
 110   0.998        ['15165', '15125', '15117', '15526']=>['14773']
 111   0.998        ['15117', '15155', '15526', '14970', '15180']=>['14773']
 112   0.998        ['14867', '15526', '15125', '14970', '15180']=>['14773']
 113   0.998        ['15117', '15155', '15526', '14970', '15180']=>['15125']
 114   0.998        ['15117', '15227', '15526', '14970', '15180']=>['15125']
 115   0.998        ['15155', '15227', '14773', '15526', '15180']=>['15125']
 116   0.998        ['15155', '15227', '15526', '15125', '15180']=>['14773']
 117   0.998        ['15117', '15227', '15526', '14970', '15180']=>['14773']
 118   0.998        ['15117', '15227', '14867', '14773', '14970']=>['15125']
 119   0.998        ['15117', '15227', '14867', '15125', '14970']=>['14773']
 120   0.998        ['15117', '15155', '14773', '15526', '14970', '15180']=>['15125']
 121   0.998        ['15117', '15155', '15526', '15125', '14970', '15180']=>['14773']
 122   0.998        ['15117', '15227', '14773', '15526', '14970', '15180']=>['15125']
 123   0.998        ['15117', '15227', '15526', '15125', '14970', '15180']=>['14773']
 124   0.998        ['14970', '15165', '15125', '15117']=>['14773']
 125   0.998        ['15227', '14970', '15180', '15155']=>['14773']
 126   0.998        ['15227', '14970', '15180', '15155']=>['15125']
 127   0.998        ['15155', '15227', '14867', '14773', '15526']=>['15125']
 128   0.998        ['15155', '15227', '14867', '15526', '15125']=>['14773']
 129   0.998        ['15117', '15155', '14867', '15125', '14970']=>['14773']
 130   0.998        ['15155', '15227', '14773', '14970', '15180']=>['15125']
 131   0.998        ['15155', '15227', '15125', '14970', '15180']=>['14773']
 132   0.998        ['15165', '15180', '15125']=>['14773']
 133   0.998        ['15165', '15125', '15155']=>['14773']
 134   0.998        ['15227', '15180', '15117', '15155']=>['15125']
 135   0.998        ['15227', '15180', '15117', '15155']=>['14773']
 136   0.998        ['15117', '15155', '14867', '15526', '14970']=>['14773']
 137   0.998        ['15227', '15165', '15180']=>['14773']
 138   0.998        ['15117', '15155', '15227', '14773', '15180']=>['15125']
 139   0.998        ['15117', '15155', '15227', '15125', '15180']=>['14773']
 140   0.998        ['15117', '14867', '15526', '14773', '15180']=>['15125']
 141   0.998        ['15117', '14867', '15526', '15125', '15180']=>['14773']
 142   0.998        ['15117', '15227', '14867', '15526', '14773', '14970']=>['15125']
 143   0.998        ['15117', '15227', '14867', '15526', '15125', '14970']=>['14773']
 144   0.998        ['15117', '15155', '15227', '14867', '15125']=>['14773']
 145   0.998        ['15117', '15165', '15526', '15125', '14970']=>['14773']
 146   0.998        ['15155', '15227', '15526', '14970', '15180']=>['14773']
 147   0.998        ['15155', '15227', '15526', '14970', '15180']=>['15125']
 148   0.998        ['15117', '15155', '14867', '15526', '15125', '14970']=>['14773']
 149   0.998        ['15227', '14867', '15526', '15125', '15180']=>['14773']
 150   0.998        ['15155', '15227', '14773', '15526', '14970', '15180']=>['15125']
 151   0.998        ['15155', '15227', '15526', '15125', '14970', '15180']=>['14773']
 152   0.998        ['15227', '15165', '15117']=>['15125']
 153   0.998        ['15227', '15165', '15117']=>['14773']
 154   0.998        ['15165', '15526', '15125', '15180']=>['14773']
 155   0.998        ['15155', '15227', '14867', '15125', '14970']=>['14773']
 156   0.998        ['15117', '14867', '14773', '14970', '15180']=>['15125']
 157   0.998        ['15117', '14867', '15125', '14970', '15180']=>['14773']
 158   0.998        ['15165', '15526', '15125', '15155']=>['14773']
