index  confidence   rules
 1     1.000        ['15525', '14922', '15010', '14132']=>['15180']
 2     1.000        ['14717', '15188', '14993', '14931']=>['14197']
 3     1.000        ['15525', '14132', '15010', '14984']=>['15180']
 4     1.000        ['15010', '15200', '14922', '14132', '15525']=>['15180']
 5     1.000        ['14984', '15180', '15272', '14922', '15200']=>['14132']
 6     1.000        ['14984', '15010', '15200', '14132', '15525']=>['15180']
 7     1.000        ['14984', '15010', '14922', '14132', '15525']=>['15180']
 8     1.000        ['14984', '15010', '15200', '14922', '14132', '15525']=>['15180']
 9     0.999        ['15200', '15180', '15248']=>['14984']
 10    0.999        ['15200', '14922', '15010', '14132']=>['15180']
 11    0.999        ['14984', '15010', '14922', '15200', '14132']=>['15180']
 12    0.999        ['15200', '14922', '15180', '15248']=>['14984']
 13    0.999        ['14132', '15200', '15180', '15248']=>['14984']
 14    0.999        ['14984', '15248', '14922', '15200', '14132']=>['15180']
 15    0.999        ['15180', '15248', '14922', '15200', '14132']=>['14984']
 16    0.999        ['14984', '15487', '15200', '14922', '14132']=>['15180']
 17    0.999        ['15180', '15487', '15200', '14922', '14132']=>['14984']
 18    0.999        ['15272', '14922', '14132']=>['15180']
 19    0.999        ['15125', '15165', '15526']=>['14773']
 20    0.999        ['14132', '15272', '14922', '14984']=>['15180']
 21    0.999        ['14970', '15125', '15526']=>['14773']
 22    0.999        ['15525', '15200', '15010', '14132']=>['15180']
 23    0.999        ['15272', '15200', '14132']=>['14984']
 24    0.999        ['15272', '15200', '15180', '14132']=>['14984']
 25    0.999        ['14970', '15117', '15125']=>['14773']
 26    0.999        ['15125', '15165', '14867', '15526']=>['14773']
 27    0.999        ['14970', '15125', '15117', '15526']=>['14773']
 28    0.999        ['14132', '15272', '15200', '14922']=>['14984']
 29    0.999        ['14132', '15272', '15200', '14922']=>['15180']
 30    0.999        ['15272', '15200', '15180', '14922']=>['14132']
 31    0.999        ['14984', '15272', '14922', '15200', '14132']=>['15180']
 32    0.999        ['15180', '15272', '15200', '14922', '14132']=>['14984']
 33    0.999        ['14970', '15227', '15125', '15526']=>['14773']
 34    0.999        ['14970', '15125', '15155']=>['14773']
 35    0.999        ['15125', '15227', '15117', '15526']=>['14773']
 36    0.999        ['15227', '15117', '14773', '15526']=>['15125']
 37    0.999        ['15125', '15227', '15155']=>['14773']
 38    0.999        ['14970', '15155', '15125', '15526']=>['14773']
 39    0.999        ['14970', '15117', '15155']=>['14773']
 40    0.999        ['14970', '15125', '15180', '15526']=>['14773']
 41    0.999        ['15125', '15227', '14867', '15526']=>['14773']
 42    0.999        ['14970', '15227', '15125', '15117']=>['14773']
 43    0.999        ['14970', '15227', '15117', '14773']=>['15125']
 44    0.999        ['15125', '15227', '15155', '15526']=>['14773']
 45    0.999        ['15227', '15155', '14773', '15526']=>['15125']
 46    0.999        ['14970', '15125', '15117', '15155']=>['14773']
 47    0.999        ['14970', '15125', '14867', '15526']=>['14773']
 48    0.999        ['15125', '15117', '15180', '15526']=>['14773']
 49    0.999        ['14773', '15117', '15180', '15526']=>['15125']
 50    0.999        ['14970', '15155', '15117', '15526']=>['14773']
 51    0.999        ['14970', '15227', '15125', '15117', '15526']=>['14773']
 52    0.999        ['14970', '15227', '14773', '15117', '15526']=>['15125']
 53    0.998        ['15125', '15227', '15117', '15155']=>['14773']
 54    0.998        ['14970', '15125', '15526', '15117', '15155']=>['14773']
 55    0.998        ['14970', '15125', '15117', '15180']=>['14773']
 56    0.998        ['14970', '14773', '15117', '15180']=>['15125']
 57    0.998        ['14970', '15227', '15125', '15155']=>['14773']
 58    0.998        ['14970', '15227', '15125', '15180']=>['14773']
 59    0.998        ['14970', '15227', '15155', '15526']=>['14773']
 60    0.998        ['14970', '15227', '15155', '15526']=>['15125']
 61    0.998        ['15125', '15227', '15526', '15117', '15155']=>['14773']
 62    0.998        ['15227', '15526', '14773', '15117', '15155']=>['15125']
 63    0.998        ['14970', '15125', '14867', '15117']=>['14773']
 64    0.998        ['14970', '15227', '15125', '15526', '15155']=>['14773']
 65    0.998        ['14970', '15227', '15526', '14773', '15155']=>['15125']
 66    0.998        ['14970', '15125', '15180', '15117', '15526']=>['14773']
 67    0.998        ['14970', '15180', '14773', '15117', '15526']=>['15125']
 68    0.998        ['14970', '15227', '15125', '15180', '15526']=>['14773']
 69    0.998        ['14970', '15125', '15180', '15155']=>['14773']
 70    0.998        ['15125', '15117', '15180', '15155']=>['14773']
 71    0.998        ['14970', '15227', '15125', '14867']=>['14773']
 72    0.998        ['14970', '15125', '15117', '15526', '14867']=>['14773']
 73    0.998        ['15125', '15227', '15117', '15180']=>['14773']
 74    0.998        ['14970', '15227', '15117', '15155']=>['15125']
 75    0.998        ['14970', '15227', '15117', '15155']=>['14773']
 76    0.998        ['14970', '15227', '15125', '15117', '15155']=>['14773']
 77    0.998        ['14970', '15227', '14773', '15117', '15155']=>['15125']
 78    0.998        ['14970', '15125', '15180', '15526', '15155']=>['14773']
 79    0.998        ['14970', '15125', '14867', '15155']=>['14773']
 80    0.998        ['14970', '15227', '15125', '15526', '14867']=>['14773']
 81    0.998        ['14970', '15227', '15526', '15117', '15155']=>['15125']
 82    0.998        ['14970', '15227', '15526', '15117', '15155']=>['14773']
 83    0.998        ['15125', '15180', '15526', '15117', '15155']=>['14773']
 84    0.998        ['15180', '15526', '14773', '15117', '15155']=>['15125']
 85    0.998        ['15125', '15227', '15117', '15526', '14867']=>['14773']
 86    0.998        ['15227', '14773', '15117', '15526', '14867']=>['15125']
 87    0.998        ['15125', '15227', '15180', '15117', '15526']=>['14773']
 88    0.998        ['15227', '15180', '14773', '15117', '15526']=>['15125']
 89    0.998        ['14970', '15227', '15125', '15117', '15526', '15155']=>['14773']
 90    0.998        ['14970', '15227', '14773', '15117', '15526', '15155']=>['15125']
 91    0.998        ['15125', '15117', '15165']=>['14773']
 92    0.998        ['15125', '15227', '15180', '15155']=>['14773']
 93    0.998        ['14970', '15125', '14867', '15180']=>['14773']
 94    0.998        ['14970', '15227', '15117', '15180']=>['14773']
 95    0.998        ['14970', '15227', '15117', '15180']=>['15125']
 96    0.998        ['14970', '15117', '15180', '15155']=>['15125']
 97    0.998        ['14970', '15117', '15180', '15155']=>['14773']
 98    0.998        ['14970', '15117', '14867', '15155']=>['14773']
 99    0.998        ['15125', '15227', '14867', '15155']=>['14773']
 100   0.998        ['14970', '15125', '15165', '15526']=>['14773']
 101   0.998        ['14970', '15125', '15526', '15155', '14867']=>['14773']
 102   0.998        ['14970', '15227', '15125', '15180', '15117']=>['14773']
 103   0.998        ['14970', '15227', '15180', '14773', '15117']=>['15125']
 104   0.998        ['14970', '15125', '15180', '15117', '15155']=>['14773']
 105   0.998        ['14970', '15180', '14773', '15117', '15155']=>['15125']
 106   0.998        ['14132', '14922', '14825', '14984']=>['15180']
 107   0.998        ['15125', '15227', '15165', '15526']=>['14773']
 108   0.998        ['15227', '15155', '15180', '15526']=>['14773']
 109   0.998        ['15227', '15155', '15180', '15526']=>['15125']
 110   0.998        ['15125', '15117', '15165', '15526']=>['14773']
 111   0.998        ['15125', '15227', '15180', '15526', '15155']=>['14773']
 112   0.998        ['15227', '15180', '15526', '14773', '15155']=>['15125']
 113   0.998        ['14970', '15125', '15180', '15526', '14867']=>['14773']
 114   0.998        ['14970', '15180', '15526', '15117', '15155']=>['15125']
 115   0.998        ['14970', '15180', '15526', '15117', '15155']=>['14773']
 116   0.998        ['14970', '15227', '15180', '15117', '15526']=>['14773']
 117   0.998        ['14970', '15227', '15180', '15117', '15526']=>['15125']
 118   0.998        ['14970', '15227', '15125', '15117', '14867']=>['14773']
 119   0.998        ['14970', '15227', '14773', '15117', '14867']=>['15125']
 120   0.998        ['14970', '15227', '15125', '15180', '15117', '15526']=>['14773']
 121   0.998        ['14970', '15227', '15180', '14773', '15117', '15526']=>['15125']
 122   0.998        ['14970', '15125', '15180', '15117', '15526', '15155']=>['14773']
 123   0.998        ['14970', '15180', '14773', '15117', '15526', '15155']=>['15125']
 124   0.998        ['14970', '15227', '15180', '15155']=>['15125']
 125   0.998        ['14970', '15227', '15180', '15155']=>['14773']
 126   0.998        ['14970', '15125', '15165', '15117']=>['14773']
