index  confidence   rules
 1     1.000        ['14922', '14132', '15010', '15525']=>['15180']
 2     1.000        ['14717', '14993', '14931', '15188']=>['14197']
 3     1.000        ['14984', '14132', '15010', '15525']=>['15180']
 4     1.000        ['15200', '14132', '15010', '14984', '15525']=>['15180']
 5     1.000        ['15200', '14922', '14132', '15010', '15525']=>['15180']
 6     1.000        ['14922', '14132', '15010', '14984', '15525']=>['15180']
 7     1.000        ['15200', '14922', '14984', '15272', '15180']=>['14132']
 8     1.000        ['15200', '14922', '14132', '15010', '14984', '15525']=>['15180']
 9     0.999        ['15200', '15248', '15180']=>['14984']
 10    0.999        ['15200', '14922', '14132', '15010']=>['15180']
 11    0.999        ['15200', '14922', '14132', '15010', '14984']=>['15180']
 12    0.999        ['15200', '14922', '15248', '15180']=>['14984']
 13    0.999        ['15200', '14132', '15248', '15180']=>['14984']
 14    0.999        ['15200', '14922', '14132', '15248', '15180']=>['14984']
 15    0.999        ['15200', '14922', '14132', '15248', '14984']=>['15180']
 16    0.999        ['15200', '14922', '14132', '15487', '15180']=>['14984']
 17    0.999        ['15200', '14922', '14132', '14984', '15487']=>['15180']
 18    0.999        ['14922', '14132', '15272']=>['15180']
 19    0.999        ['15526', '15125', '15165']=>['14773']
 20    0.999        ['14984', '14922', '14132', '15272']=>['15180']
 21    0.999        ['15526', '15125', '14970']=>['14773']
 22    0.999        ['15200', '14132', '15010', '15525']=>['15180']
 23    0.999        ['15200', '14132', '15272']=>['14984']
 24    0.999        ['15180', '15200', '14132', '15272']=>['14984']
 25    0.999        ['15125', '14970', '15117']=>['14773']
 26    0.999        ['14867', '15526', '15125', '15165']=>['14773']
 27    0.999        ['15200', '14922', '14132', '15272']=>['14984']
 28    0.999        ['15526', '15125', '14970', '15117']=>['14773']
 29    0.999        ['15180', '15200', '14922', '15272']=>['14132']
 30    0.999        ['15200', '14922', '14132', '15272']=>['15180']
 31    0.999        ['15200', '14922', '14132', '15272', '15180']=>['14984']
 32    0.999        ['15200', '14922', '14132', '14984', '15272']=>['15180']
 33    0.999        ['15526', '15125', '14970', '15227']=>['14773']
 34    0.999        ['15125', '14970', '15155']=>['14773']
 35    0.999        ['15526', '14773', '15117', '15227']=>['15125']
 36    0.999        ['15526', '15125', '15117', '15227']=>['14773']
 37    0.999        ['15125', '15155', '15227']=>['14773']
 38    0.999        ['15526', '15125', '14970', '15155']=>['14773']
 39    0.999        ['14970', '15155', '15117']=>['14773']
 40    0.999        ['15526', '15125', '14970', '15180']=>['14773']
 41    0.999        ['14867', '15526', '15125', '15227']=>['14773']
 42    0.999        ['14970', '14773', '15117', '15227']=>['15125']
 43    0.999        ['15125', '14970', '15117', '15227']=>['14773']
 44    0.999        ['15526', '14773', '15155', '15227']=>['15125']
 45    0.999        ['15526', '15125', '15155', '15227']=>['14773']
 46    0.999        ['15125', '14970', '15155', '15117']=>['14773']
 47    0.999        ['14867', '15526', '14970', '15125']=>['14773']
 48    0.999        ['15526', '14773', '15117', '15180']=>['15125']
 49    0.999        ['15526', '15125', '15117', '15180']=>['14773']
 50    0.999        ['15526', '14970', '15155', '15117']=>['14773']
 51    0.999        ['15526', '14970', '15227', '15117', '14773']=>['15125']
 52    0.999        ['15526', '15125', '14970', '15227', '15117']=>['14773']
 53    0.998        ['15125', '15155', '15117', '15227']=>['14773']
 54    0.998        ['15526', '15125', '14970', '15155', '15117']=>['14773']
 55    0.998        ['15125', '14970', '15155', '15227']=>['14773']
 56    0.998        ['14970', '14773', '15117', '15180']=>['15125']
 57    0.998        ['15125', '14970', '15117', '15180']=>['14773']
 58    0.998        ['15125', '14970', '15227', '15180']=>['14773']
 59    0.998        ['15526', '14970', '15155', '15227']=>['15125']
 60    0.998        ['15526', '14970', '15155', '15227']=>['14773']
 61    0.998        ['15526', '15155', '15227', '15117', '14773']=>['15125']
 62    0.998        ['15526', '15125', '15155', '15227', '15117']=>['14773']
 63    0.998        ['14867', '14970', '15117', '15125']=>['14773']
 64    0.998        ['15526', '14970', '15155', '15227', '14773']=>['15125']
 65    0.998        ['15526', '15125', '14970', '15155', '15227']=>['14773']
 66    0.998        ['15526', '14970', '15117', '14773', '15180']=>['15125']
 67    0.998        ['15526', '15125', '14970', '15117', '15180']=>['14773']
 68    0.998        ['15526', '15125', '14970', '15227', '15180']=>['14773']
 69    0.998        ['15125', '14970', '15155', '15180']=>['14773']
 70    0.998        ['15125', '15155', '15117', '15180']=>['14773']
 71    0.998        ['14867', '14970', '15227', '15125']=>['14773']
 72    0.998        ['14867', '15526', '14970', '15125', '15117']=>['14773']
 73    0.998        ['14970', '15155', '15117', '15227']=>['14773']
 74    0.998        ['15125', '15180', '15117', '15227']=>['14773']
 75    0.998        ['14970', '15155', '15117', '15227']=>['15125']
 76    0.998        ['14970', '15155', '15227', '15117', '14773']=>['15125']
 77    0.998        ['15125', '14970', '15155', '15227', '15117']=>['14773']
 78    0.998        ['15526', '15125', '14970', '15155', '15180']=>['14773']
 79    0.998        ['14867', '14970', '15155', '15125']=>['14773']
 80    0.998        ['14867', '15526', '14970', '15125', '15227']=>['14773']
 81    0.998        ['15526', '14970', '15155', '15227', '15117']=>['14773']
 82    0.998        ['15526', '15155', '15117', '14773', '15180']=>['15125']
 83    0.998        ['15526', '15125', '15155', '15117', '15180']=>['14773']
 84    0.998        ['15526', '14970', '15155', '15227', '15117']=>['15125']
 85    0.998        ['14867', '15526', '15227', '15117', '14773']=>['15125']
 86    0.998        ['14867', '15526', '15125', '15227', '15117']=>['14773']
 87    0.998        ['15526', '15227', '15117', '14773', '15180']=>['15125']
 88    0.998        ['15526', '15125', '15227', '15117', '15180']=>['14773']
 89    0.998        ['15526', '14970', '15155', '15227', '15117', '14773']=>['15125']
 90    0.998        ['15526', '15125', '14970', '15155', '15227', '15117']=>['14773']
 91    0.998        ['15125', '15165', '15117']=>['14773']
 92    0.998        ['15125', '15180', '15155', '15227']=>['14773']
 93    0.998        ['14970', '15155', '15117', '15180']=>['15125']
 94    0.998        ['14970', '15180', '15117', '15227']=>['15125']
 95    0.998        ['14867', '14970', '15180', '15125']=>['14773']
 96    0.998        ['14970', '15180', '15117', '15227']=>['14773']
 97    0.998        ['14970', '15155', '15117', '15180']=>['14773']
 98    0.998        ['15526', '15125', '14970', '15165']=>['14773']
 99    0.998        ['14867', '15125', '15155', '15227']=>['14773']
 100   0.998        ['14867', '14970', '15155', '15117']=>['14773']
 101   0.998        ['14970', '15227', '15117', '14773', '15180']=>['15125']
 102   0.998        ['15125', '14970', '15227', '15117', '15180']=>['14773']
 103   0.998        ['14867', '15526', '14970', '15125', '15155']=>['14773']
 104   0.998        ['14970', '15155', '15117', '14773', '15180']=>['15125']
 105   0.998        ['15125', '14970', '15155', '15117', '15180']=>['14773']
 106   0.998        ['14825', '14984', '14922', '14132']=>['15180']
 107   0.998        ['15526', '15125', '15165', '15227']=>['14773']
 108   0.998        ['15526', '15180', '15155', '15227']=>['15125']
 109   0.998        ['15526', '15180', '15155', '15227']=>['14773']
 110   0.998        ['15526', '15125', '15165', '15117']=>['14773']
 111   0.998        ['15526', '14970', '15155', '15117', '15180']=>['15125']
 112   0.998        ['15526', '15155', '15227', '14773', '15180']=>['15125']
 113   0.998        ['15526', '15125', '15155', '15227', '15180']=>['14773']
 114   0.998        ['15526', '14970', '15227', '15117', '15180']=>['15125']
 115   0.998        ['15526', '14970', '15227', '15117', '15180']=>['14773']
 116   0.998        ['15526', '14970', '15155', '15117', '15180']=>['14773']
 117   0.998        ['14867', '15526', '14970', '15125', '15180']=>['14773']
 118   0.998        ['14867', '14970', '15227', '15117', '14773']=>['15125']
 119   0.998        ['14867', '14970', '15125', '15227', '15117']=>['14773']
 120   0.998        ['15526', '14970', '15155', '15117', '14773', '15180']=>['15125']
 121   0.998        ['15526', '15125', '14970', '15155', '15117', '15180']=>['14773']
 122   0.998        ['15526', '14970', '15227', '15117', '14773', '15180']=>['15125']
 123   0.998        ['15526', '15125', '14970', '15227', '15117', '15180']=>['14773']
 124   0.998        ['14970', '15180', '15155', '15227']=>['14773']
 125   0.998        ['14970', '15180', '15155', '15227']=>['15125']
 126   0.998        ['15165', '15125', '14970', '15117']=>['14773']
 127   0.998        ['14867', '14970', '15125', '15155', '15117']=>['14773']
 128   0.998        ['14867', '15526', '15155', '15227', '14773']=>['15125']
 129   0.998        ['14867', '15526', '15125', '15155', '15227']=>['14773']
 130   0.998        ['14970', '15155', '15227', '14773', '15180']=>['15125']
