index  confidence   rules
 1     1.000        ['15188', '14993', '14717', '14931']=>['14197']
 2     1.000        ['14132', '15525', '15010', '14922']=>['15180']
 3     1.000        ['14132', '14984', '15010', '15525']=>['15180']
 4     1.000        ['14984', '15525', '15010', '15200', '14132']=>['15180']
 5     1.000        ['15525', '15010', '15200', '14132', '14922']=>['15180']
 6     1.000        ['14984', '15525', '15010', '14132', '14922']=>['15180']
 7     1.000        ['14984', '15272', '15180', '15200', '14922']=>['14132']
 8     1.000        ['14984', '15525', '15010', '15200', '14132', '14922']=>['15180']
 9     0.999        ['15180', '15248', '15200']=>['14984']
 10    0.999        ['15200', '14132', '15010', '14922']=>['15180']
 11    0.999        ['14984', '15010', '15200', '14132', '14922']=>['15180']
 12    0.999        ['15180', '15248', '14922', '15200']=>['14984']
 13    0.999        ['15180', '14132', '15248', '15200']=>['14984']
 14    0.999        ['14984', '15200', '14132', '15248', '14922']=>['15180']
 15    0.999        ['15200', '15180', '14132', '15248', '14922']=>['14984']
 16    0.999        ['14984', '15487', '15200', '14132', '14922']=>['15180']
 17    0.999        ['15487', '15180', '14132', '15200', '14922']=>['14984']
 18    0.999        ['14132', '14922', '15272']=>['15180']
 19    0.999        ['15165', '15526', '15125']=>['14773']
 20    0.999        ['14132', '14984', '14922', '15272']=>['15180']
 21    0.999        ['15526', '15125', '14970']=>['14773']
 22    0.999        ['15200', '14132', '15525', '15010']=>['15180']
 23    0.999        ['15200', '14132', '15272']=>['14984']
 24    0.999        ['15180', '14132', '15200', '15272']=>['14984']
 25    0.999        ['15117', '15125', '14970']=>['14773']
 26    0.999        ['15165', '15526', '15125', '14867']=>['14773']
 27    0.999        ['15117', '15526', '15125', '14970']=>['14773']
 28    0.999        ['15200', '14132', '14922', '15272']=>['14984']
 29    0.999        ['15200', '14132', '14922', '15272']=>['15180']
 30    0.999        ['15180', '15200', '14922', '15272']=>['14132']
 31    0.999        ['14984', '15272', '15200', '14132', '14922']=>['15180']
 32    0.999        ['15272', '15180', '14132', '15200', '14922']=>['14984']
 33    0.999        ['15227', '15526', '15125', '14970']=>['14773']
 34    0.999        ['15155', '15125', '14970']=>['14773']
 35    0.999        ['15227', '15117', '15526', '15125']=>['14773']
 36    0.999        ['14773', '15227', '15117', '15526']=>['15125']
 37    0.999        ['15227', '15155', '15125']=>['14773']
 38    0.999        ['15155', '15526', '15125', '14970']=>['14773']
 39    0.999        ['15155', '15117', '14970']=>['14773']
 40    0.999        ['15180', '15526', '15125', '14970']=>['14773']
 41    0.999        ['15227', '15526', '15125', '14867']=>['14773']
 42    0.999        ['15227', '15117', '15125', '14970']=>['14773']
 43    0.999        ['14773', '15227', '15117', '14970']=>['15125']
 44    0.999        ['15227', '15155', '15526', '15125']=>['14773']
 45    0.999        ['14773', '15227', '15155', '15526']=>['15125']
 46    0.999        ['15155', '15117', '15125', '14970']=>['14773']
 47    0.999        ['15125', '15526', '14867', '14970']=>['14773']
 48    0.999        ['15180', '15117', '15526', '15125']=>['14773']
 49    0.999        ['14773', '15117', '15180', '15526']=>['15125']
 50    0.999        ['15155', '15117', '15526', '14970']=>['14773']
 51    0.999        ['15227', '15125', '15526', '15117', '14970']=>['14773']
 52    0.999        ['14773', '15227', '15526', '15117', '14970']=>['15125']
 53    0.998        ['15117', '15227', '15155', '15125']=>['14773']
 54    0.998        ['15155', '15125', '15526', '15117', '14970']=>['14773']
 55    0.998        ['15227', '15155', '15125', '14970']=>['14773']
 56    0.998        ['15180', '15117', '15125', '14970']=>['14773']
 57    0.998        ['14773', '15117', '15180', '14970']=>['15125']
 58    0.998        ['15180', '15227', '15125', '14970']=>['14773']
 59    0.998        ['15227', '15155', '15526', '14970']=>['14773']
 60    0.998        ['15227', '15155', '15526', '14970']=>['15125']
 61    0.998        ['15227', '15155', '15125', '15526', '15117']=>['14773']
 62    0.998        ['14773', '15227', '15155', '15526', '15117']=>['15125']
 63    0.998        ['15125', '15117', '14867', '14970']=>['14773']
 64    0.998        ['15227', '15155', '15125', '15526', '14970']=>['14773']
 65    0.998        ['14773', '15227', '15155', '15526', '14970']=>['15125']
 66    0.998        ['15125', '15526', '15180', '15117', '14970']=>['14773']
 67    0.998        ['14773', '15526', '15180', '15117', '14970']=>['15125']
 68    0.998        ['15227', '15125', '15526', '15180', '14970']=>['14773']
 69    0.998        ['15180', '15155', '15125', '14970']=>['14773']
 70    0.998        ['15227', '14970', '15125', '14867']=>['14773']
 71    0.998        ['15180', '15155', '15117', '15125']=>['14773']
 72    0.998        ['15125', '14867', '15526', '15117', '14970']=>['14773']
 73    0.998        ['15227', '15155', '15117', '14970']=>['15125']
 74    0.998        ['15117', '15227', '15155', '14970']=>['14773']
 75    0.998        ['15180', '15227', '15117', '15125']=>['14773']
 76    0.998        ['15227', '15155', '15125', '15117', '14970']=>['14773']
 77    0.998        ['14773', '15227', '15155', '15117', '14970']=>['15125']
 78    0.998        ['15155', '15125', '15526', '15180', '14970']=>['14773']
 79    0.998        ['15155', '15125', '14867', '14970']=>['14773']
 80    0.998        ['15227', '15125', '14867', '15526', '14970']=>['14773']
 81    0.998        ['15227', '15155', '15526', '15117', '14970']=>['15125']
 82    0.998        ['15155', '15125', '15526', '15180', '15117']=>['14773']
 83    0.998        ['14773', '15155', '15526', '15180', '15117']=>['15125']
 84    0.998        ['15227', '15155', '15526', '15117', '14970']=>['14773']
 85    0.998        ['15227', '15125', '14867', '15526', '15117']=>['14773']
 86    0.998        ['14773', '15227', '14867', '15526', '15117']=>['15125']
 87    0.998        ['15227', '15125', '15526', '15180', '15117']=>['14773']
 88    0.998        ['14773', '15227', '15526', '15180', '15117']=>['15125']
 89    0.998        ['15227', '15155', '15125', '15526', '15117', '14970']=>['14773']
 90    0.998        ['14773', '15227', '15155', '15526', '15117', '14970']=>['15125']
 91    0.998        ['15165', '15117', '15125']=>['14773']
 92    0.998        ['15180', '15227', '15155', '15125']=>['14773']
 93    0.998        ['15180', '15125', '14867', '14970']=>['14773']
 94    0.998        ['15180', '15227', '15117', '14970']=>['14773']
 95    0.998        ['15180', '15155', '15117', '14970']=>['14773']
 96    0.998        ['15180', '15155', '15117', '14970']=>['15125']
 97    0.998        ['15180', '15227', '15117', '14970']=>['15125']
 98    0.998        ['15165', '15526', '15125', '14970']=>['14773']
 99    0.998        ['15227', '15155', '15125', '14867']=>['14773']
 100   0.998        ['15155', '15117', '14867', '14970']=>['14773']
 101   0.998        ['15227', '15125', '15180', '15117', '14970']=>['14773']
 102   0.998        ['14773', '15227', '15180', '15117', '14970']=>['15125']
 103   0.998        ['15155', '15125', '14867', '15526', '14970']=>['14773']
 104   0.998        ['15155', '15125', '15180', '15117', '14970']=>['14773']
 105   0.998        ['14773', '15155', '15180', '15117', '14970']=>['15125']
 106   0.998        ['14825', '14132', '14984', '14922']=>['15180']
 107   0.998        ['15165', '15227', '15526', '15125']=>['14773']
 108   0.998        ['15180', '15227', '15155', '15526']=>['15125']
 109   0.998        ['15180', '15227', '15155', '15526']=>['14773']
 110   0.998        ['15165', '15117', '15526', '15125']=>['14773']
 111   0.998        ['15155', '15526', '15180', '15117', '14970']=>['15125']
 112   0.998        ['15227', '15155', '15125', '15526', '15180']=>['14773']
 113   0.998        ['14773', '15227', '15155', '15526', '15180']=>['15125']
 114   0.998        ['15125', '14867', '15526', '15180', '14970']=>['14773']
 115   0.998        ['15227', '15526', '15180', '15117', '14970']=>['15125']
 116   0.998        ['15155', '15526', '15180', '15117', '14970']=>['14773']
 117   0.998        ['15227', '15526', '15180', '15117', '14970']=>['14773']
 118   0.998        ['15227', '15125', '14867', '15117', '14970']=>['14773']
 119   0.998        ['14773', '15227', '14867', '15117', '14970']=>['15125']
 120   0.998        ['15227', '15125', '15526', '15180', '15117', '14970']=>['14773']
 121   0.998        ['14773', '15227', '15526', '15180', '15117', '14970']=>['15125']
 122   0.998        ['15155', '15125', '15526', '15180', '15117', '14970']=>['14773']
 123   0.998        ['14773', '15155', '15526', '15180', '15117', '14970']=>['15125']
 124   0.998        ['15180', '15227', '15155', '14970']=>['14773']
 125   0.998        ['15180', '15227', '15155', '14970']=>['15125']
 126   0.998        ['15165', '15117', '15125', '14970']=>['14773']
 127   0.998        ['15155', '15125', '14867', '15117', '14970']=>['14773']
 128   0.998        ['15227', '15155', '15125', '14867', '15526']=>['14773']
 129   0.998        ['14773', '15227', '15155', '14867', '15526']=>['15125']
 130   0.998        ['15227', '15155', '15125', '15180', '14970']=>['14773']
 131   0.998        ['14773', '15227', '15155', '15180', '14970']=>['15125']
 132   0.998        ['15180', '15165', '15125']=>['14773']
 133   0.998        ['15165', '15155', '15125']=>['14773']
 134   0.998        ['15180', '15227', '15155', '15117']=>['14773']
 135   0.998        ['15180', '15227', '15155', '15117']=>['15125']
 136   0.998        ['15155', '14867', '15526', '15117', '14970']=>['14773']
 137   0.998        ['15180', '15165', '15227']=>['14773']
 138   0.998        ['15227', '15155', '15125', '15180', '15117']=>['14773']
 139   0.998        ['14773', '15227', '15155', '15180', '15117']=>['15125']
 140   0.998        ['15125', '14867', '15526', '15180', '15117']=>['14773']
 141   0.998        ['14773', '14867', '15526', '15180', '15117']=>['15125']
 142   0.998        ['15227', '15125', '14867', '15526', '15117', '14970']=>['14773']
 143   0.998        ['14773', '15227', '14867', '15526', '15117', '14970']=>['15125']
 144   0.998        ['15227', '15155', '15526', '15180', '14970']=>['14773']
 145   0.998        ['15227', '15155', '15526', '15180', '14970']=>['15125']
 146   0.998        ['15227', '15155', '15125', '14867', '15117']=>['14773']
 147   0.998        ['15125', '15526', '15165', '15117', '14970']=>['14773']
 148   0.998        ['15155', '15125', '14867', '15526', '15117', '14970']=>['14773']
 149   0.998        ['15227', '15125', '14867', '15526', '15180']=>['14773']
 150   0.998        ['15227', '15155', '15125', '15526', '15180', '14970']=>['14773']
 151   0.998        ['14773', '15227', '15155', '15526', '15180', '14970']=>['15125']
 152   0.998        ['15165', '15227', '15117']=>['15125']
 153   0.998        ['15165', '15227', '15117']=>['14773']
